Gemeenten,Provincie,Grootteklasse,
Alkmaar,Noord-Holland,100.000 tot 150.000 inwoners,
Alphen aan den Rijn,Zuid-Holland,100.000 tot 150.000 inwoners,
Delft,Zuid-Holland,100.000 tot 150.000 inwoners,
Deventer,Overijssel,100.000 tot 150.000 inwoners,
Dordrecht,Zuid-Holland,100.000 tot 150.000 inwoners,
Ede,Gelderland,100.000 tot 150.000 inwoners,
Emmen,Drenthe,100.000 tot 150.000 inwoners,
Leeuwarden,Friesland,100.000 tot 150.000 inwoners,
Leiden,Zuid-Holland,100.000 tot 150.000 inwoners,
Maastricht,Limburg,100.000 tot 150.000 inwoners,
Venlo,Limburg,100.000 tot 150.000 inwoners,
Westland,Zuid-Holland,100.000 tot 150.000 inwoners,
Zoetermeer,Zuid-Holland,100.000 tot 150.000 inwoners,
Zwolle,Overijssel,100.000 tot 150.000 inwoners,
Alphen-Chaam,Noord-Brabant,10.000 tot 20.000 inwoners,
Asten,Noord-Brabant,10.000 tot 20.000 inwoners,
Beek (L.),Limburg,10.000 tot 20.000 inwoners,
Beesel,Limburg,10.000 tot 20.000 inwoners,
Bergeijk,Noord-Brabant,10.000 tot 20.000 inwoners,
Bergen (L.),Limburg,10.000 tot 20.000 inwoners,
Blaricum,Noord-Holland,10.000 tot 20.000 inwoners,
Boekel,Noord-Brabant,10.000 tot 20.000 inwoners,
Bunnik,Utrecht,10.000 tot 20.000 inwoners,
Dantumadiel,Friesland,10.000 tot 20.000 inwoners,
Doesburg,Gelderland,10.000 tot 20.000 inwoners,
Druten,Gelderland,10.000 tot 20.000 inwoners,
Enkhuizen,Noord-Holland,10.000 tot 20.000 inwoners,
Gennep,Limburg,10.000 tot 20.000 inwoners,
Gulpen-Wittem,Limburg,10.000 tot 20.000 inwoners,
Hardinxveld-Giessendam,Zuid-Holland,10.000 tot 20.000 inwoners,
Harlingen,Friesland,10.000 tot 20.000 inwoners,
Hattem,Gelderland,10.000 tot 20.000 inwoners,
Heerde,Gelderland,10.000 tot 20.000 inwoners,
Heeze-Leende,Noord-Brabant,10.000 tot 20.000 inwoners,
Heumen,Gelderland,10.000 tot 20.000 inwoners,
Hilvarenbeek,Noord-Brabant,10.000 tot 20.000 inwoners,
Kapelle,Zeeland,10.000 tot 20.000 inwoners,
Landsmeer,Noord-Holland,10.000 tot 20.000 inwoners,
Laren (NH.),Noord-Holland,10.000 tot 20.000 inwoners,
Lopik,Utrecht,10.000 tot 20.000 inwoners,
Meerssen,Limburg,10.000 tot 20.000 inwoners,
Midden-Delfland,Zuid-Holland,10.000 tot 20.000 inwoners,
Montfoort,Utrecht,10.000 tot 20.000 inwoners,
Nederweert,Limburg,10.000 tot 20.000 inwoners,
Oirschot,Noord-Brabant,10.000 tot 20.000 inwoners,
Olst-Wijhe,Overijssel,10.000 tot 20.000 inwoners,
Ommen,Overijssel,10.000 tot 20.000 inwoners,
Opmeer,Noord-Holland,10.000 tot 20.000 inwoners,
Ouder-Amstel,Noord-Holland,10.000 tot 20.000 inwoners,
Oudewater,Utrecht,10.000 tot 20.000 inwoners,
Pekela,Groningen,10.000 tot 20.000 inwoners,
Reusel-De Mierden,Noord-Brabant,10.000 tot 20.000 inwoners,
Scherpenzeel,Gelderland,10.000 tot 20.000 inwoners,
Simpelveld,Limburg,10.000 tot 20.000 inwoners,
Son en Breugel,Noord-Brabant,10.000 tot 20.000 inwoners,
Staphorst,Overijssel,10.000 tot 20.000 inwoners,
Texel,Noord-Holland,10.000 tot 20.000 inwoners,
Uitgeest,Noord-Holland,10.000 tot 20.000 inwoners,
Vaals,Limburg,10.000 tot 20.000 inwoners,
Valkenburg aan de Geul,Limburg,10.000 tot 20.000 inwoners,
Voerendaal,Limburg,10.000 tot 20.000 inwoners,
Waalre,Noord-Brabant,10.000 tot 20.000 inwoners,
Waterland,Noord-Holland,10.000 tot 20.000 inwoners,
Westerveld,Drenthe,10.000 tot 20.000 inwoners,
Westervoort,Gelderland,10.000 tot 20.000 inwoners,
Wormerland,Noord-Holland,10.000 tot 20.000 inwoners,
Woudenberg,Utrecht,10.000 tot 20.000 inwoners,
Zandvoort,Noord-Holland,10.000 tot 20.000 inwoners,
Almere,Flevoland,150.000 tot 250.000 inwoners,
Amersfoort,Utrecht,150.000 tot 250.000 inwoners,
Apeldoorn,Gelderland,150.000 tot 250.000 inwoners,
Arnhem,Gelderland,150.000 tot 250.000 inwoners,
Breda,Noord-Brabant,150.000 tot 250.000 inwoners,
Eindhoven,Noord-Brabant,150.000 tot 250.000 inwoners,
Enschede,Overijssel,150.000 tot 250.000 inwoners,
Groningen (gemeente),Groningen,150.000 tot 250.000 inwoners,
Haarlem,Noord-Holland,150.000 tot 250.000 inwoners,
Haarlemmermeer,Noord-Holland,150.000 tot 250.000 inwoners,
's-Hertogenbosch,Noord-Brabant,150.000 tot 250.000 inwoners,
Nijmegen,Gelderland,150.000 tot 250.000 inwoners,
Tilburg,Noord-Brabant,150.000 tot 250.000 inwoners,
Zaanstad,Noord-Holland,150.000 tot 250.000 inwoners,
Aa en Hunze,Drenthe,20.000 tot 50.000 inwoners,
Aalsmeer,Noord-Holland,20.000 tot 50.000 inwoners,
Aalten,Gelderland,20.000 tot 50.000 inwoners,
Achtkarspelen,Friesland,20.000 tot 50.000 inwoners,
Alblasserdam,Zuid-Holland,20.000 tot 50.000 inwoners,
Albrandswaard,Zuid-Holland,20.000 tot 50.000 inwoners,
Baarn,Utrecht,20.000 tot 50.000 inwoners,
Barendrecht,Zuid-Holland,20.000 tot 50.000 inwoners,
Beekdaelen,Limburg,20.000 tot 50.000 inwoners,
Berg en Dal,Gelderland,20.000 tot 50.000 inwoners,
Bergen (NH.),Noord-Holland,20.000 tot 50.000 inwoners,
Berkelland,Gelderland,20.000 tot 50.000 inwoners,
Bernheze,Noord-Brabant,20.000 tot 50.000 inwoners,
Best,Noord-Brabant,20.000 tot 50.000 inwoners,
Beuningen,Gelderland,20.000 tot 50.000 inwoners,
Beverwijk,Noord-Holland,20.000 tot 50.000 inwoners,
De Bilt,Utrecht,20.000 tot 50.000 inwoners,
Bladel,Noord-Brabant,20.000 tot 50.000 inwoners,
Bloemendaal,Noord-Holland,20.000 tot 50.000 inwoners,
Bodegraven-Reeuwijk,Zuid-Holland,20.000 tot 50.000 inwoners,
Borger-Odoorn,Drenthe,20.000 tot 50.000 inwoners,
Borne,Overijssel,20.000 tot 50.000 inwoners,
Borsele,Zeeland,20.000 tot 50.000 inwoners,
Boxtel,Noord-Brabant,20.000 tot 50.000 inwoners,
Bronckhorst,Gelderland,20.000 tot 50.000 inwoners,
Brummen,Gelderland,20.000 tot 50.000 inwoners,
Brunssum,Limburg,20.000 tot 50.000 inwoners,
Bunschoten,Utrecht,20.000 tot 50.000 inwoners,
Buren,Gelderland,20.000 tot 50.000 inwoners,
Castricum,Noord-Holland,20.000 tot 50.000 inwoners,
Coevorden,Drenthe,20.000 tot 50.000 inwoners,
Cranendonck,Noord-Brabant,20.000 tot 50.000 inwoners,
Culemborg,Gelderland,20.000 tot 50.000 inwoners,
Dalfsen,Overijssel,20.000 tot 50.000 inwoners,
Deurne,Noord-Brabant,20.000 tot 50.000 inwoners,
Diemen,Noord-Holland,20.000 tot 50.000 inwoners,
Dinkelland,Overijssel,20.000 tot 50.000 inwoners,
Dongen,Noord-Brabant,20.000 tot 50.000 inwoners,
Drechterland,Noord-Holland,20.000 tot 50.000 inwoners,
Drimmelen,Noord-Brabant,20.000 tot 50.000 inwoners,
Dronten,Flevoland,20.000 tot 50.000 inwoners,
Duiven,Gelderland,20.000 tot 50.000 inwoners,
Echt-Susteren,Limburg,20.000 tot 50.000 inwoners,
Edam-Volendam,Noord-Holland,20.000 tot 50.000 inwoners,
Eemsdelta,Groningen,20.000 tot 50.000 inwoners,
Eersel,Noord-Brabant,20.000 tot 50.000 inwoners,
Eijsden-Margraten,Limburg,20.000 tot 50.000 inwoners,
Elburg,Gelderland,20.000 tot 50.000 inwoners,
Epe,Gelderland,20.000 tot 50.000 inwoners,
Ermelo,Gelderland,20.000 tot 50.000 inwoners,
Etten-Leur,Noord-Brabant,20.000 tot 50.000 inwoners,
Geertruidenberg,Noord-Brabant,20.000 tot 50.000 inwoners,
Geldrop-Mierlo,Noord-Brabant,20.000 tot 50.000 inwoners,
Gemert-Bakel,Noord-Brabant,20.000 tot 50.000 inwoners,
Gilze en Rijen,Noord-Brabant,20.000 tot 50.000 inwoners,
Goes,Zeeland,20.000 tot 50.000 inwoners,
Goirle,Noord-Brabant,20.000 tot 50.000 inwoners,
